SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-04_DD,400,1,t1songcompare.jpg,NA
Subject2017-04_DD,400,2,t1gamecompare.jpg,NA
Subject2017-04_DD,400,3,t2songcompare.jpg,4
Subject2017-04_DD,400,4,t3songcompare.jpg,4
Subject2017-04_DD,400,5,t2gamecompare.jpg,1
Subject2017-04_DD,400,6,t4songcompare.jpg,4
Subject2017-04_DD,400,7,t3gamecompare.jpg,4
Subject2017-04_DD,400,8,t4gamecompare.jpg,4
Subject2017-04_DD,400,9,t5songcompare.jpg,1
Subject2017-04_DD,400,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,400,,,
SessionDate:,4/10/2017,,,
SessionTime:,9:45:02,,,
RandomSeed: ,1014338408,,,
Group:,1,,,
