SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-06_SB,600,1,t1songcompare.jpg,NA
Subject2017-06_SB,600,2,t1gamecompare.jpg,4
Subject2017-06_SB,600,3,t2songcompare.jpg,1
Subject2017-06_SB,600,4,t3songcompare.jpg,1
Subject2017-06_SB,600,5,t2gamecompare.jpg,1
Subject2017-06_SB,600,6,t4songcompare.jpg,1
Subject2017-06_SB,600,7,t3gamecompare.jpg,1
Subject2017-06_SB,600,8,t4gamecompare.jpg,1
Subject2017-06_SB,600,9,t5songcompare.jpg,4
Subject2017-06_SB,600,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,600,,,
SessionDate:,4/10/2017,,,
SessionTime:,13:36:32,,,
RandomSeed: ,-1816590553,,,
Group:,1,,,
