SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-07_EK,700,1,t1songcompare.jpg,4
Subject2017-07_EK,700,2,t1gamecompare.jpg,1
Subject2017-07_EK,700,3,t2songcompare.jpg,1
Subject2017-07_EK,700,4,t3songcompare.jpg,1
Subject2017-07_EK,700,5,t2gamecompare.jpg,4
Subject2017-07_EK,700,6,t4songcompare.jpg,1
Subject2017-07_EK,700,7,t3gamecompare.jpg,1
Subject2017-07_EK,700,8,t4gamecompare.jpg,1
Subject2017-07_EK,700,9,t5songcompare.jpg,1
Subject2017-07_EK,700,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,700,,,
SessionDate:,4/10/2017,,,
SessionTime:,14:33:47,,,
RandomSeed: ,1639243544,,,
Group:,1,,,
