SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-08_GT,800,1,t1songcompare.jpg,1
Subject2017-08_GT,800,2,t1gamecompare.jpg,1
Subject2017-08_GT,800,3,t2songcompare.jpg,1
Subject2017-08_GT,800,4,t3songcompare.jpg,1
Subject2017-08_GT,800,5,t2gamecompare.jpg,4
Subject2017-08_GT,800,6,t4songcompare.jpg,1
Subject2017-08_GT,800,7,t3gamecompare.jpg,NA
Subject2017-08_GT,800,8,t4gamecompare.jpg,1
Subject2017-08_GT,800,9,t5songcompare.jpg,1
Subject2017-08_GT,800,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,800,,,
SessionDate:,4/10/2017,,,
SessionTime:,15:24:33,,,
RandomSeed: ,-563875072,,,
Group:,1,,,
