SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-11_FR,1100,1,t1songcompare.jpg,4
Subject2017-11_FR,1100,2,t1gamecompare.jpg,4
Subject2017-11_FR,1100,3,t2songcompare.jpg,NA
Subject2017-11_FR,1100,4,t3songcompare.jpg,4
Subject2017-11_FR,1100,5,t2gamecompare.jpg,NA
Subject2017-11_FR,1100,6,t4songcompare.jpg,1
Subject2017-11_FR,1100,7,t3gamecompare.jpg,1
Subject2017-11_FR,1100,8,t4gamecompare.jpg,1
Subject2017-11_FR,1100,9,t5songcompare.jpg,4
Subject2017-11_FR,1100,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,1100,,,
SessionDate:,4/11/2017,,,
SessionTime:,12:20:39,,,
RandomSeed: ,1741490465,,,
Group:,1,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,2,
