SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-12_CS,1200,1,t1songcompare.jpg,4
Subject2017-12_CS,1200,2,t1gamecompare.jpg,4
Subject2017-12_CS,1200,3,t2songcompare.jpg,4
Subject2017-12_CS,1200,4,t3songcompare.jpg,4
Subject2017-12_CS,1200,5,t2gamecompare.jpg,1
Subject2017-12_CS,1200,6,t4songcompare.jpg,1
Subject2017-12_CS,1200,7,t3gamecompare.jpg,4
Subject2017-12_CS,1200,8,t4gamecompare.jpg,1
Subject2017-12_CS,1200,9,t5songcompare.jpg,1
Subject2017-12_CS,1200,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,1200,,,
SessionDate:,4/11/2017,,,
SessionTime:,14:02:55,,,
RandomSeed: ,1784672967,,,
Group:,1,,,
