SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-13_BMR,1300,1,t1songcompare.jpg,NA
Subject2017-13_BMR,1300,2,t1gamecompare.jpg,4
Subject2017-13_BMR,1300,3,t2songcompare.jpg,1
Subject2017-13_BMR,1300,4,t3songcompare.jpg,4
Subject2017-13_BMR,1300,5,t2gamecompare.jpg,4
Subject2017-13_BMR,1300,6,t4songcompare.jpg,1
Subject2017-13_BMR,1300,7,t3gamecompare.jpg,1
Subject2017-13_BMR,1300,8,t4gamecompare.jpg,1
Subject2017-13_BMR,1300,9,t5songcompare.jpg,4
Subject2017-13_BMR,1300,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,1300,,,
SessionDate:,4/11/2017,,,
SessionTime:,15:07:33,,,
RandomSeed: ,-1795449476,,,
Group:,1,,,
