SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-14_WY,1400,1,t1songcompare.jpg,4
Subject2017-14_WY,1400,2,t1gamecompare.jpg,4
Subject2017-14_WY,1400,3,t2songcompare.jpg,4
Subject2017-14_WY,1400,4,t3songcompare.jpg,4
Subject2017-14_WY,1400,5,t2gamecompare.jpg,4
Subject2017-14_WY,1400,6,t4songcompare.jpg,4
Subject2017-14_WY,1400,7,t3gamecompare.jpg,4
Subject2017-14_WY,1400,8,t4gamecompare.jpg,4
Subject2017-14_WY,1400,9,t5songcompare.jpg,4
Subject2017-14_WY,1400,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,1400,,,
SessionDate:,4/11/2017,,,
SessionTime:,17:10:02,,,
RandomSeed: ,-1795443226,,,
Group:,1,,,
