SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-15_ZL,1500,1,t1songcompare.jpg,NA
Subject2017-15_ZL,1500,2,t1gamecompare.jpg,4
Subject2017-15_ZL,1500,3,t2songcompare.jpg,4
Subject2017-15_ZL,1500,4,t3songcompare.jpg,4
Subject2017-15_ZL,1500,5,t2gamecompare.jpg,1
Subject2017-15_ZL,1500,6,t4songcompare.jpg,1
Subject2017-15_ZL,1500,7,t3gamecompare.jpg,4
Subject2017-15_ZL,1500,8,t4gamecompare.jpg,4
Subject2017-15_ZL,1500,9,t5songcompare.jpg,1
Subject2017-15_ZL,1500,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,1500,,,
SessionDate:,4/13/2017,,,
SessionTime:,10:49:19,,,
RandomSeed: ,94332288,,,
Group:,1,,,
