SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-16_ZN,1600,1,t1songcompare.jpg,NA
Subject2017-16_ZN,1600,2,t1gamecompare.jpg,1
Subject2017-16_ZN,1600,3,t2songcompare.jpg,1
Subject2017-16_ZN,1600,4,t3songcompare.jpg,4
Subject2017-16_ZN,1600,5,t2gamecompare.jpg,1
Subject2017-16_ZN,1600,6,t4songcompare.jpg,1
Subject2017-16_ZN,1600,7,t3gamecompare.jpg,1
Subject2017-16_ZN,1600,8,t4gamecompare.jpg,1
Subject2017-16_ZN,1600,9,t5songcompare.jpg,NA
Subject2017-16_ZN,1600,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,1600,,,
SessionDate:,4/13/2017,,,
SessionTime:,13:32:16,,,
RandomSeed: ,21592898,,,
Group:,1,,,
