SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-17_HJ,1700,1,t1songcompare.jpg,NA
Subject2017-17_HJ,1700,2,t1gamecompare.jpg,1
Subject2017-17_HJ,1700,3,t2songcompare.jpg,4
Subject2017-17_HJ,1700,4,t3songcompare.jpg,1
Subject2017-17_HJ,1700,5,t2gamecompare.jpg,4
Subject2017-17_HJ,1700,6,t4songcompare.jpg,4
Subject2017-17_HJ,1700,7,t3gamecompare.jpg,1
Subject2017-17_HJ,1700,8,t4gamecompare.jpg,1
Subject2017-17_HJ,1700,9,t5songcompare.jpg,4
Subject2017-17_HJ,1700,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,1700,,,
SessionDate:,4/13/2017,,,
SessionTime:,14:28:03,,,
RandomSeed: ,-1125980090,,,
Group:,1,,,
