SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-18_CJ,1800,1,t1songcompare.jpg,4
Subject2017-18_CJ,1800,2,t1gamecompare.jpg,4
Subject2017-18_CJ,1800,3,t2songcompare.jpg,4
Subject2017-18_CJ,1800,4,t3songcompare.jpg,4
Subject2017-18_CJ,1800,5,t2gamecompare.jpg,4
Subject2017-18_CJ,1800,6,t4songcompare.jpg,4
Subject2017-18_CJ,1800,7,t3gamecompare.jpg,NA
Subject2017-18_CJ,1800,8,t4gamecompare.jpg,4
Subject2017-18_CJ,1800,9,t5songcompare.jpg,4
Subject2017-18_CJ,1800,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,1800,,,
SessionDate:,4/13/2017,,,
SessionTime:,15:26:11,,,
RandomSeed: ,-1780043672,,,
Group:,1,,,
