SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-19_HD,1900,1,t1songcompare.jpg,1
Subject2017-19_HD,1900,2,t1gamecompare.jpg,4
Subject2017-19_HD,1900,3,t2songcompare.jpg,1
Subject2017-19_HD,1900,4,t3songcompare.jpg,4
Subject2017-19_HD,1900,5,t2gamecompare.jpg,NA
Subject2017-19_HD,1900,6,t4songcompare.jpg,1
Subject2017-19_HD,1900,7,t3gamecompare.jpg,4
Subject2017-19_HD,1900,8,t4gamecompare.jpg,1
Subject2017-19_HD,1900,9,t5songcompare.jpg,1
Subject2017-19_HD,1900,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,1900,,,
SessionDate:,4/13/2017,,,
SessionTime:,16:45:30,,,
RandomSeed: ,2022768936,,,
Group:,1,,,
