SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-20_SS,2000,1,t1songcompare.jpg,4
Subject2017-20_SS,2000,2,t1gamecompare.jpg,1
Subject2017-20_SS,2000,3,t2songcompare.jpg,4
Subject2017-20_SS,2000,4,t3songcompare.jpg,4
Subject2017-20_SS,2000,5,t2gamecompare.jpg,NA
Subject2017-20_SS,2000,6,t4songcompare.jpg,NA
Subject2017-20_SS,2000,7,t3gamecompare.jpg,4
Subject2017-20_SS,2000,8,t4gamecompare.jpg,4
Subject2017-20_SS,2000,9,t5songcompare.jpg,4
Subject2017-20_SS,2000,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,2000,,,
SessionDate:,4/14/2017,,,
SessionTime:,9:53:57,,,
RandomSeed: ,-623367989,,,
Group:,1,,,
