SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-21_WL,2100,1,t1songcompare.jpg,NA
Subject2017-21_WL,2100,2,t1gamecompare.jpg,4
Subject2017-21_WL,2100,3,t2songcompare.jpg,4
Subject2017-21_WL,2100,4,t3songcompare.jpg,4
Subject2017-21_WL,2100,5,t2gamecompare.jpg,4
Subject2017-21_WL,2100,6,t4songcompare.jpg,4
Subject2017-21_WL,2100,7,t3gamecompare.jpg,1
Subject2017-21_WL,2100,8,t4gamecompare.jpg,4
Subject2017-21_WL,2100,9,t5songcompare.jpg,1
Subject2017-21_WL,2100,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,2100,,,
SessionDate:,4/14/2017,,,
SessionTime:,10:47:07,,,
RandomSeed: ,1971866616,,,
Group:,1,,,
