SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-22_FP,2200,1,t1songcompare.jpg,NA
Subject2017-22_FP,2200,2,t1gamecompare.jpg,4
Subject2017-22_FP,2200,3,t2songcompare.jpg,1
Subject2017-22_FP,2200,4,t3songcompare.jpg,1
Subject2017-22_FP,2200,5,t2gamecompare.jpg,1
Subject2017-22_FP,2200,6,t4songcompare.jpg,1
Subject2017-22_FP,2200,7,t3gamecompare.jpg,1
Subject2017-22_FP,2200,8,t4gamecompare.jpg,1
Subject2017-22_FP,2200,9,t5songcompare.jpg,1
Subject2017-22_FP,2200,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,2200,,,
SessionDate:,4/14/2017,,,
SessionTime:,11:54:04,,,
RandomSeed: ,-1120800765,,,
Group:,1,,,
