SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-24_MF,2400,1,t1songcompare.jpg,1
Subject2017-24_MF,2400,2,t1gamecompare.jpg,4
Subject2017-24_MF,2400,3,t2songcompare.jpg,NA
Subject2017-24_MF,2400,4,t3songcompare.jpg,1
Subject2017-24_MF,2400,5,t2gamecompare.jpg,1
Subject2017-24_MF,2400,6,t4songcompare.jpg,1
Subject2017-24_MF,2400,7,t3gamecompare.jpg,1
Subject2017-24_MF,2400,8,t4gamecompare.jpg,1
Subject2017-24_MF,2400,9,t5songcompare.jpg,NA
Subject2017-24_MF,2400,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,2400,,,
SessionDate:,4/14/2017,,,
SessionTime:,13:41:09,,,
RandomSeed: ,-63230507,,,
Group:,1,,,
