SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-25_DJ,2500,1,t1songcompare.jpg,NA
Subject2017-25_DJ,2500,2,t1gamecompare.jpg,4
Subject2017-25_DJ,2500,3,t2songcompare.jpg,1
Subject2017-25_DJ,2500,4,t3songcompare.jpg,1
Subject2017-25_DJ,2500,5,t2gamecompare.jpg,1
Subject2017-25_DJ,2500,6,t4songcompare.jpg,4
Subject2017-25_DJ,2500,7,t3gamecompare.jpg,1
Subject2017-25_DJ,2500,8,t4gamecompare.jpg,4
Subject2017-25_DJ,2500,9,t5songcompare.jpg,1
Subject2017-25_DJ,2500,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,2500,,,
SessionDate:,4/14/2017,,,
SessionTime:,14:46:43,,,
RandomSeed: ,847440593,,,
Group:,1,,,
