SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-26_MG,2600,1,t1songcompare.jpg,1
Subject2017-26_MG,2600,2,t1gamecompare.jpg,1
Subject2017-26_MG,2600,3,t2songcompare.jpg,1
Subject2017-26_MG,2600,4,t3songcompare.jpg,1
Subject2017-26_MG,2600,5,t2gamecompare.jpg,4
Subject2017-26_MG,2600,6,t4songcompare.jpg,1
Subject2017-26_MG,2600,7,t3gamecompare.jpg,1
Subject2017-26_MG,2600,8,t4gamecompare.jpg,1
Subject2017-26_MG,2600,9,t5songcompare.jpg,4
Subject2017-26_MG,2600,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,2600,,,
SessionDate:,4/14/2017,,,
SessionTime:,15:40:02,,,
RandomSeed: ,-818521031,,,
Group:,1,,,
