SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-27_CE,2700,1,t1songcompare.jpg,1
Subject2017-27_CE,2700,2,t1gamecompare.jpg,4
Subject2017-27_CE,2700,3,t2songcompare.jpg,4
Subject2017-27_CE,2700,4,t3songcompare.jpg,1
Subject2017-27_CE,2700,5,t2gamecompare.jpg,4
Subject2017-27_CE,2700,6,t4songcompare.jpg,1
Subject2017-27_CE,2700,7,t3gamecompare.jpg,4
Subject2017-27_CE,2700,8,t4gamecompare.jpg,4
Subject2017-27_CE,2700,9,t5songcompare.jpg,1
Subject2017-27_CE,2700,10,t5gamecompare.jpg,NA
,,,,
,,,,
Subject:,2700,,,
SessionDate:,4/17/2017,,,
SessionTime:,11:33:39,,,
RandomSeed: ,1613756920,,,
Group:,1,,,
