SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-28_MA,2800,1,t1songcompare.jpg,NA
Subject2017-28_MA,2800,2,t1gamecompare.jpg,4
Subject2017-28_MA,2800,3,t2songcompare.jpg,4
Subject2017-28_MA,2800,4,t3songcompare.jpg,1
Subject2017-28_MA,2800,5,t2gamecompare.jpg,4
Subject2017-28_MA,2800,6,t4songcompare.jpg,4
Subject2017-28_MA,2800,7,t3gamecompare.jpg,4
Subject2017-28_MA,2800,8,t4gamecompare.jpg,4
Subject2017-28_MA,2800,9,t5songcompare.jpg,4
Subject2017-28_MA,2800,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,2800,,,
SessionDate:,4/17/2017,,,
SessionTime:,11:33:39,,,
RandomSeed: ,1613756920,,,
Group:,1,,,
