SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-29_MT,2900,1,t1songcompare.jpg,4
Subject2017-29_MT,2900,2,t1gamecompare.jpg,NA
Subject2017-29_MT,2900,3,t2songcompare.jpg,4
Subject2017-29_MT,2900,4,t3songcompare.jpg,1
Subject2017-29_MT,2900,5,t2gamecompare.jpg,4
Subject2017-29_MT,2900,6,t4songcompare.jpg,4
Subject2017-29_MT,2900,7,t3gamecompare.jpg,4
Subject2017-29_MT,2900,8,t4gamecompare.jpg,NA
Subject2017-29_MT,2900,9,t5songcompare.jpg,4
Subject2017-29_MT,2900,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,2900,,,
SessionDate:,4/17/2017,,,
SessionTime:,13:36:42,,,
RandomSeed: ,1735869699,,,
Group:,1,,,
