SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-30_HL,3000,1,t1songcompare.jpg,1
Subject2017-30_HL,3000,2,t1gamecompare.jpg,1
Subject2017-30_HL,3000,3,t2songcompare.jpg,4
Subject2017-30_HL,3000,4,t3songcompare.jpg,1
Subject2017-30_HL,3000,5,t2gamecompare.jpg,4
Subject2017-30_HL,3000,6,t4songcompare.jpg,1
Subject2017-30_HL,3000,7,t3gamecompare.jpg,1
Subject2017-30_HL,3000,8,t4gamecompare.jpg,1
Subject2017-30_HL,3000,9,t5songcompare.jpg,NA
Subject2017-30_HL,3000,10,t5gamecompare.jpg,NA
,,,,
,,,,
Subject:,3000,,,
SessionDate:,4/21/2017,,,
SessionTime:,10:38:52,,,
RandomSeed: ,-540179070,,,
Group:,1,,,
