SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-31_RM,3100,1,t1songcompare.jpg,1
Subject2017-31_RM,3100,2,t1gamecompare.jpg,1
Subject2017-31_RM,3100,3,t2songcompare.jpg,1
Subject2017-31_RM,3100,4,t3songcompare.jpg,4
Subject2017-31_RM,3100,5,t2gamecompare.jpg,4
Subject2017-31_RM,3100,6,t4songcompare.jpg,1
Subject2017-31_RM,3100,7,t3gamecompare.jpg,1
Subject2017-31_RM,3100,8,t4gamecompare.jpg,4
Subject2017-31_RM,3100,9,t5songcompare.jpg,NA
Subject2017-31_RM,3100,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,3100,,,
SessionDate:,4/18/2017,,,
SessionTime:,10:01:27,,,
RandomSeed: ,1739666914,,,
Group:,1,,,
