SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-32_LC,3200,1,t1songcompare.jpg,4
Subject2017-32_LC,3200,2,t1gamecompare.jpg,4
Subject2017-32_LC,3200,3,t2songcompare.jpg,4
Subject2017-32_LC,3200,4,t3songcompare.jpg,4
Subject2017-32_LC,3200,5,t2gamecompare.jpg,1
Subject2017-32_LC,3200,6,t4songcompare.jpg,4
Subject2017-32_LC,3200,7,t3gamecompare.jpg,1
Subject2017-32_LC,3200,8,t4gamecompare.jpg,4
Subject2017-32_LC,3200,9,t5songcompare.jpg,4
Subject2017-32_LC,3200,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,3200,,,
SessionDate:,4/18/2017,,,
SessionTime:,11:03:00,,,
RandomSeed: ,1805073955,,,
Group:,1,,,
