SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-33_BJ,3300,1,t1songcompare.jpg,NA
Subject2017-33_BJ,3300,2,t1gamecompare.jpg,1
Subject2017-33_BJ,3300,3,t2songcompare.jpg,4
Subject2017-33_BJ,3300,4,t3songcompare.jpg,1
Subject2017-33_BJ,3300,5,t2gamecompare.jpg,4
Subject2017-33_BJ,3300,6,t4songcompare.jpg,NA
Subject2017-33_BJ,3300,7,t3gamecompare.jpg,1
Subject2017-33_BJ,3300,8,t4gamecompare.jpg,1
Subject2017-33_BJ,3300,9,t5songcompare.jpg,1
Subject2017-33_BJ,3300,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,3300,,,
SessionDate:,4/18/2017,,,
SessionTime:,13:39:32,,,
RandomSeed: ,383709169,,,
Group:,1,,,
