SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-34_ME,3400,1,t1songcompare.jpg,1
Subject2017-34_ME,3400,2,t1gamecompare.jpg,4
Subject2017-34_ME,3400,3,t2songcompare.jpg,4
Subject2017-34_ME,3400,4,t3songcompare.jpg,1
Subject2017-34_ME,3400,5,t2gamecompare.jpg,NA
Subject2017-34_ME,3400,6,t4songcompare.jpg,1
Subject2017-34_ME,3400,7,t3gamecompare.jpg,4
Subject2017-34_ME,3400,8,t4gamecompare.jpg,4
Subject2017-34_ME,3400,9,t5songcompare.jpg,1
Subject2017-34_ME,3400,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,3400,,,
SessionDate:,4/18/2017,,,
SessionTime:,14:39:47,,,
RandomSeed: ,173909252,,,
Group:,1,,,
