SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-35_AS,3500,1,t1songcompare.jpg,NA
Subject2017-35_AS,3500,2,t1gamecompare.jpg,4
Subject2017-35_AS,3500,3,t2songcompare.jpg,1
Subject2017-35_AS,3500,4,t3songcompare.jpg,1
Subject2017-35_AS,3500,5,t2gamecompare.jpg,4
Subject2017-35_AS,3500,6,t4songcompare.jpg,4
Subject2017-35_AS,3500,7,t3gamecompare.jpg,4
Subject2017-35_AS,3500,8,t4gamecompare.jpg,4
Subject2017-35_AS,3500,9,t5songcompare.jpg,4
Subject2017-35_AS,3500,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,3500,,,
SessionDate:,4/18/2017,,,
SessionTime:,15:46:09,,,
RandomSeed: ,1254314996,,,
Group:,1,,,
