SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-36_BJ,3600,1,t1songcompare.jpg,NA
Subject2017-36_BJ,3600,2,t1gamecompare.jpg,1
Subject2017-36_BJ,3600,3,t2songcompare.jpg,1
Subject2017-36_BJ,3600,4,t3songcompare.jpg,1
Subject2017-36_BJ,3600,5,t2gamecompare.jpg,4
Subject2017-36_BJ,3600,6,t4songcompare.jpg,4
Subject2017-36_BJ,3600,7,t3gamecompare.jpg,4
Subject2017-36_BJ,3600,8,t4gamecompare.jpg,1
Subject2017-36_BJ,3600,9,t5songcompare.jpg,1
Subject2017-36_BJ,3600,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,3600,,,
SessionDate:,4/18/2017,,,
SessionTime:,16:47:23,,,
RandomSeed: ,1252451991,,,
Group:,1,,,
