SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-37_BC,3700,1,t1songcompare.jpg,4
Subject2017-37_BC,3700,2,t1gamecompare.jpg,4
Subject2017-37_BC,3700,3,t2songcompare.jpg,1
Subject2017-37_BC,3700,4,t3songcompare.jpg,1
Subject2017-37_BC,3700,5,t2gamecompare.jpg,4
Subject2017-37_BC,3700,6,t4songcompare.jpg,1
Subject2017-37_BC,3700,7,t3gamecompare.jpg,4
Subject2017-37_BC,3700,8,t4gamecompare.jpg,4
Subject2017-37_BC,3700,9,t5songcompare.jpg,1
Subject2017-37_BC,3700,10,t5gamecompare.jpg,NA
,,,,
,,,,
Subject:,3700,,,
SessionDate:,4/20/2017,,,
SessionTime:,9:30:22,,,
RandomSeed: ,-115750111,,,
Group:,1,,,
