SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-38_YD,3800,1,t1songcompare.jpg,NA
Subject2017-38_YD,3800,2,t1gamecompare.jpg,1
Subject2017-38_YD,3800,3,t2songcompare.jpg,1
Subject2017-38_YD,3800,4,t3songcompare.jpg,1
Subject2017-38_YD,3800,5,t2gamecompare.jpg,1
Subject2017-38_YD,3800,6,t4songcompare.jpg,NA
Subject2017-38_YD,3800,7,t3gamecompare.jpg,1
Subject2017-38_YD,3800,8,t4gamecompare.jpg,4
Subject2017-38_YD,3800,9,t5songcompare.jpg,1
Subject2017-38_YD,3800,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,3800,,,
SessionDate:,4/24/2017,,,
SessionTime:,13:13:08,,,
RandomSeed: ,295423421,,,
Group:,1,,,
