SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-39_SE,3900,1,t1songcompare.jpg,4
Subject2017-39_SE,3900,2,t1gamecompare.jpg,4
Subject2017-39_SE,3900,3,t2songcompare.jpg,1
Subject2017-39_SE,3900,4,t3songcompare.jpg,4
Subject2017-39_SE,3900,5,t2gamecompare.jpg,1
Subject2017-39_SE,3900,6,t4songcompare.jpg,1
Subject2017-39_SE,3900,7,t3gamecompare.jpg,4
Subject2017-39_SE,3900,8,t4gamecompare.jpg,4
Subject2017-39_SE,3900,9,t5songcompare.jpg,1
Subject2017-39_SE,3900,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,3900,,,
SessionDate:,4/24/2017,,,
SessionTime:,14:19:01,,,
RandomSeed: ,1271597311,,,
Group:,1,,,
