SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-40_RD,4000,1,t1songcompare.jpg,1
Subject2017-40_RD,4000,2,t1gamecompare.jpg,1
Subject2017-40_RD,4000,3,t2songcompare.jpg,4
Subject2017-40_RD,4000,4,t3songcompare.jpg,4
Subject2017-40_RD,4000,5,t2gamecompare.jpg,4
Subject2017-40_RD,4000,6,t4songcompare.jpg,4
Subject2017-40_RD,4000,7,t3gamecompare.jpg,4
Subject2017-40_RD,4000,8,t4gamecompare.jpg,4
Subject2017-40_RD,4000,9,t5songcompare.jpg,1
Subject2017-40_RD,4000,10,t5gamecompare.jpg,4
,,,,
,,,,
Subject:,4000,,,
SessionDate:,4/24/2017,,,
SessionTime:,15:29:21,,,
RandomSeed: ,-1108664205,,,
Group:,1,,,
