SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-42_EM,4200,1,t1songcompare.jpg,4
Subject2017-42_EM,4200,2,t1gamecompare.jpg,4
Subject2017-42_EM,4200,3,t2songcompare.jpg,4
Subject2017-42_EM,4200,4,t3songcompare.jpg,4
Subject2017-42_EM,4200,5,t2gamecompare.jpg,1
Subject2017-42_EM,4200,6,t4songcompare.jpg,1
Subject2017-42_EM,4200,7,t3gamecompare.jpg,NA
Subject2017-42_EM,4200,8,t4gamecompare.jpg,1
Subject2017-42_EM,4200,9,t5songcompare.jpg,4
Subject2017-42_EM,4200,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,4200,,,
SessionDate:,4/25/2017,,,
SessionTime:,11:33:04,,,
RandomSeed: ,-1236642512,,,
Group:,1,,,
