SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-43_WJ,4300,1,t1songcompare.jpg,NA
Subject2017-43_WJ,4300,2,t1gamecompare.jpg,1
Subject2017-43_WJ,4300,3,t2songcompare.jpg,1
Subject2017-43_WJ,4300,4,t3songcompare.jpg,NA
Subject2017-43_WJ,4300,5,t2gamecompare.jpg,1
Subject2017-43_WJ,4300,6,t4songcompare.jpg,1
Subject2017-43_WJ,4300,7,t3gamecompare.jpg,1
Subject2017-43_WJ,4300,8,t4gamecompare.jpg,4
Subject2017-43_WJ,4300,9,t5songcompare.jpg,1
Subject2017-43_WJ,4300,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,4300,,,
SessionDate:,4/25/2017,,,
SessionTime:,12:50:23,,,
RandomSeed: ,2144899897,,,
Group:,1,,,
