SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-44_MS,4400,1,t1songcompare.jpg,NA
Subject2017-44_MS,4400,2,t1gamecompare.jpg,NA
Subject2017-44_MS,4400,3,t2songcompare.jpg,4
Subject2017-44_MS,4400,4,t3songcompare.jpg,4
Subject2017-44_MS,4400,5,t2gamecompare.jpg,1
Subject2017-44_MS,4400,6,t4songcompare.jpg,1
Subject2017-44_MS,4400,7,t3gamecompare.jpg,4
Subject2017-44_MS,4400,8,t4gamecompare.jpg,NA
Subject2017-44_MS,4400,9,t5songcompare.jpg,4
Subject2017-44_MS,4400,10,t5gamecompare.jpg,NA
,,,,
,,,,
Subject:,4400,,,
SessionDate:,4/26/2017,,,
SessionTime:,10:45:00,,,
RandomSeed: ,-419663912,,,
Group:,1,,,
