SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-45_YBY,4500,1,t1songcompare.jpg,1
Subject2017-45_YBY,4500,2,t1gamecompare.jpg,4
Subject2017-45_YBY,4500,3,t2songcompare.jpg,NA
Subject2017-45_YBY,4500,4,t3songcompare.jpg,4
Subject2017-45_YBY,4500,5,t2gamecompare.jpg,1
Subject2017-45_YBY,4500,6,t4songcompare.jpg,4
Subject2017-45_YBY,4500,7,t3gamecompare.jpg,4
Subject2017-45_YBY,4500,8,t4gamecompare.jpg,1
Subject2017-45_YBY,4500,9,t5songcompare.jpg,4
Subject2017-45_YBY,4500,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,4500,,,
SessionDate:,5/2/2017,,,
SessionTime:,15:05:25,,,
RandomSeed: ,-287038123,,,
Group:,1,,,
