SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-46_GD,4600,1,t1songcompare.jpg,4
Subject2017-46_GD,4600,2,t1gamecompare.jpg,1
Subject2017-46_GD,4600,3,t2songcompare.jpg,1
Subject2017-46_GD,4600,4,t3songcompare.jpg,NA
Subject2017-46_GD,4600,5,t2gamecompare.jpg,4
Subject2017-46_GD,4600,6,t4songcompare.jpg,1
Subject2017-46_GD,4600,7,t3gamecompare.jpg,1
Subject2017-46_GD,4600,8,t4gamecompare.jpg,1
Subject2017-46_GD,4600,9,t5songcompare.jpg,1
Subject2017-46_GD,4600,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,4600,,,
SessionDate:,5/3/2017,,,
SessionTime:,14:21:50,,,
RandomSeed: ,1077503034,,,
Group:,1,,,
