SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-51_CC,5100,1,t1songcompare.jpg,NA
Subject2017-51_CC,5100,2,t1gamecompare.jpg,4
Subject2017-51_CC,5100,3,t2songcompare.jpg,NA
Subject2017-51_CC,5100,4,t3songcompare.jpg,4
Subject2017-51_CC,5100,5,t2gamecompare.jpg,1
Subject2017-51_CC,5100,6,t4songcompare.jpg,1
Subject2017-51_CC,5100,7,t3gamecompare.jpg,4
Subject2017-51_CC,5100,8,t4gamecompare.jpg,4
Subject2017-51_CC,5100,9,t5songcompare.jpg,1
Subject2017-51_CC,5100,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,5100,,,
SessionDate:,5/9/2017,,,
SessionTime:,13:27:18,,,
RandomSeed: ,-634985161,,,
Group:,1,,,
