SubjectName,SubjectNr,TrialList,JPEG shown,choice.RESP
Subject2017-52_BB,5200,1,t1songcompare.jpg,1
Subject2017-52_BB,5200,2,t1gamecompare.jpg,NA
Subject2017-52_BB,5200,3,t2songcompare.jpg,1
Subject2017-52_BB,5200,4,t3songcompare.jpg,1
Subject2017-52_BB,5200,5,t2gamecompare.jpg,1
Subject2017-52_BB,5200,6,t4songcompare.jpg,1
Subject2017-52_BB,5200,7,t3gamecompare.jpg,1
Subject2017-52_BB,5200,8,t4gamecompare.jpg,4
Subject2017-52_BB,5200,9,t5songcompare.jpg,4
Subject2017-52_BB,5200,10,t5gamecompare.jpg,1
,,,,
,,,,
Subject:,5200,,,
SessionDate:,5/9/2017,,,
SessionTime:,14:40:41,,,
RandomSeed: ,1921066283,,,
Group:,1,,,
